contract_id,title,summary,termination_clause,confidentiality_clause,liability_clause,status,error
contract_0024,Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement,"This is a Website Design, Development and Hosting Agreement between FreeCook and Mitchell's Web Advance, PLC. Key obligations include Client paying $5,000 for website design and development, and Company delivering the website within 12 weeks. Notable risks include Client's responsibility for proofreading and correcting written content, and Company's right to use Client's trade names and logos for marketing purposes.",Either party may terminate this Agreement upon 30 days written notice.,Not specified in this contract.,"Neither party is liable for indirect or consequential damages, except as explicitly stated in the Agreement.",success,
contract_0025,OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,"This is a service agreement between PC Financial Services Private Limited and Mobimagic Co., Ltd. Key obligations include PC Financial paying a monthly fee to Mobimagic for system/platform maintenance and data processing services. Notable risks include Mobimagic's disclaimers of warranties and liability for unforeseen contingencies related to data storage and retention. The agreement also includes confidentiality and non-disclosure obligations, as well as restrictions on the use of the services.",Either party may terminate this Service Agreement upon 30 days written notice.,"Each party must keep proprietary information confidential, excluding information already known, publicly available, or independently developed.","Neither party is liable for unforeseen contingencies, claims, liabilities, demands, losses, damages, or expenses arising from the absence of storage or retention of PC Financial data.",success,
contract_0026,"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT","This is a joint venture agreement between BorrowMoney.com, inc and JVLS, LLC dba Vaccines 2Go, with a term from March 1, 2020 to February 28, 2025. Key obligations include managing the day-to-day business, monitoring financial affairs, and contributing capital. Notable risks include liability for breach of the agreement, termination of the venture, and potential losses due to member actions or inactions.","The joint venture may be terminated upon expiration of the term, unanimous vote by the members, or dissolution due to various reasons.",Not specified in this contract.,"Each member will indemnify the remaining members against losses, costs, and claims arising from breach of the agreement or termination of the venture.",success,
contract_0027,ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,"This is an Intellectual Property Agreement between Motorola Solutions, Inc. and Zebra Technologies Corporation, where Motorola Solutions assigns certain intellectual property to Zebra Technologies as part of a larger acquisition. Key obligations include the transfer of assigned intellectual property, licensing of certain intellectual property, and the assumption of liabilities related to the assigned intellectual property. Notable risks include the potential for disputes over intellectual property ownership and the impact of changes in control on the agreement.",Not specified in this contract.,Not specified in this contract.,Not specified in this contract.,success,
contract_0028,ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement,"This is a Domain Name and Content License Agreement between Beijing SINA Internet Information Service Co., Ltd. (Licensor) and Beijing Yisheng Leju Information Services Co., Ltd. (Licensee), where Licensor grants Licensee an exclusive license to use certain domain names and content in connection with an online real estate media platform in China. Key obligations include Licensee's use of the Licensed Domain Names and Content, and compliance with the terms and conditions of this Agreement. Notable risks include potential disputes and changes in control, which may impact the Agreement.",Either party may terminate this Domain Name and Content License Agreement upon 30 days written notice.,"Each party must keep confidential information, including the Licensed Content and Licensed Domain Names, confidential.","Neither party is liable for indirect or consequential damages, except as provided in Section 10.12.",success,
contract_0029,"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT","This is an Intellectual Property Agreement between The Hertz Corporation, Hertz System, Inc., and Herc Rentals Inc. regarding the separation of their Vehicle Rental Business and Equipment Rental Business. Key obligations include the transfer, licensing, and use of trademarks and domain names. Notable risks include the potential for confusion in the marketplace during the Interim Period and the need for cooperation between the parties to ensure compliance with the terms of the Agreement.",Either party may terminate this Agreement upon expiration of the Interim Period or earlier termination of related agreements.,Not specified in this contract.,Not specified in this contract.,success,
contract_0030,GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,"This is a consulting agreement between Global Technologies, Ltd and Timothy Cabrera, an individual consultant. Key obligations include the consultant providing various services to the company, including further development of the business plan, seeking acquisition opportunities, and assisting with day-to-day tasks. Notable risks include the company's potential liability for the consultant's negligence, and the consultant's exclusive liability for complying with all applicable state and federal laws governing self-employed individuals.","Either party may terminate this agreement without notice in the event of bankruptcy, insolvency, or assignment for the benefit of creditors, or with notice for any other reason.","The consultant and the company must keep each other's proprietary information secret and confidential, and not disclose it without prior written consent.","The indemnifying party must indemnify, defend, and hold harmless the other party from claims, damages, and liabilities caused by the negligent act or omission of the indemnifying party.",success,
contract_0031,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1,"This is a franchise agreement between Pizza Fusion Holdings, Inc. and the Franchisee, granting the right to operate a ""Pizza Fusion"" restaurant business at a specified location. Key obligations include operating the business in accordance with the franchisor's standards and procedures, and adhering to the terms of the agreement. Notable risks include potential termination of the agreement, restrictions on competition, and indemnification obligations.",Either party may terminate this franchise agreement upon 30 days written notice.,Not specified in this contract.,Not specified in this contract.,success,
contract_0032,CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT,"This is a software licensing agreement between Corio Inc. and Commerce One, Inc. where Corio obtains a license to use and host Commerce One's proprietary software, with key obligations including hosting services, joint marketing, and support. Notable risks include Corio's liability for indirect or consequential damages, which is not specified in the contract, and Commerce One's retention of all rights, title, and interest in the software.",Either party may terminate this Agreement upon 30 days written notice.,Not specified in this contract.,Not specified in this contract.,success,
contract_0033,TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT,"This is a cooperation agreement between Nanjing Tuniu Technology Co., Ltd. and Beijing Tuniu Technology Co., Ltd. for the internet-based sale and promotion of tour products. Key obligations include Party B providing technical consultancy and services to Party A, and Party A allocating proceeds generated from cooperation in accordance with the agreement. Notable risks include the potential for liquidated damages and specific performance in case of a breach, and the waiver of rights to terminate the agreement under certain circumstances.",Either party may terminate this agreement prior to the expiration of the term of cooperation under specific circumstances.,Not specified in this contract.,Neither party is liable for indirect loss or damage caused by a breach of the agreement.,success,
contract_0034,CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT,"This is a promotion agreement between CNET, Inc. and Cyberian Outpost, Inc. for online and television promotions to facilitate the sale of products through Cyberian Outpost's Internet site. Key obligations include CNET's provision of links and promotions, and Cyberian Outpost's operation of its site and payment of cash consideration based on sales generated from CNET's promotions. Notable risks include the potential for material breach of obligations, which may result in termination of the agreement.",Either party may terminate this Agreement upon 30 days written notice.,Not specified in this contract.,"Neither party is liable for indirect or consequential damages, except as otherwise provided in the contract.",success,
contract_0035,SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement,"This is a collaboration agreement between Didi Chuxing Technology Co., Ltd. and Hunan Ruixi Financial Leasing Co., Ltd. for a vehicle leasing service on Didi's platform. Key obligations include Didi maintaining the platform, and Hunan Ruixi providing vehicles that meet safety specifications and complying with platform rules. Notable risks include Didi's right to inspect and remove information, and Hunan Ruixi's liability for vehicle safety and compliance with laws.",Either party may terminate this Agreement upon 30 days written notice to the other party.,"Each party must keep proprietary information, including business information and user profiles, confidential.",Neither party is liable for indirect or consequential damages arising from the Agreement.,success,
contract_0036,HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement,"This is a software licensing agreement between Vayyar Imaging Ltd. and Inde Living Holdings, Inc., where Vayyar appoints Inde as a non-exclusive reseller of its products in a specified territory. Inde's key obligations include complying with laws, using approved materials, attending training, and ensuring End Users sign the End User Agreement. Notable risks include Reseller's liability for End User non-compliance and Supplier's retention of intellectual property rights.",Either party may terminate this Agreement upon 30 days written notice.,Each party must maintain the confidentiality of the other's proprietary information and trade secrets.,"Neither party is liable for indirect or consequential damages, except as prohibited by applicable laws.",success,
contract_0037,LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT,"This is a Reseller Agreement between American Express Incentive Services and Schoolpop, Inc. for the resale of stored value cards to nonprofit organizations in the United States. Key obligations include Schoolpop's exclusive right to resell cards in the NPO Marketplace, inventory management and forecasting, and payment of marketing rights and other fees. Notable risks include penalties for inventory and customer service shortfalls, and the potential for AEIS to terminate the Agreement if Schoolpop fails to meet its obligations.","Either party may terminate this Agreement upon 30 days written notice, or earlier if Schoolpop fails to fund the Guaranteed Minimum.",Not specified in this contract.,"Neither party is liable for indirect or consequential damages, but AEIS may assess penalties for inventory and customer service shortfalls.",success,
contract_0038,BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT,"This is a software licensing agreement between Mortgage Logic.com, Inc. (Client) and TrueLink, Inc. (TrueLink) for access to TrueLink's interface software and credit bureau information. Key obligations include Client's payment of fees for hosting and support services, and TrueLink's provision of technical support and programming customization services. Notable risks include TrueLink's disclaimer of liability for the truth or completeness of credit data transmitted to Client.",Either party may terminate this Agreement upon 30 days written notice.,Client and TrueLink must keep each other's proprietary information confidential.,"Neither party is liable for indirect or consequential damages, except as otherwise specified in the Agreement.",success,
contract_0039,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,"This is a Strategic Alliance Agreement between Dialog Semiconductor and Energous Corporation, outlining a partnership for the distribution of Energous products and technology, with key obligations including the sharing of confidential information, joint marketing efforts, and the manufacture of products. Notable risks include the potential for Epidemic Defects, Insolvency Events, and changes in control of either party. The agreement also includes provisions for the protection of intellectual property rights and the resolution of disputes.","Either party may terminate upon 30 days written notice, or upon occurrence of a Change of Control.",Confidential information contained in this document is subject to confidential treatment and may not be disclosed without prior written consent.,"Neither party is liable for indirect or consequential damages, except in the event of a breach of confidentiality or intellectual property rights.",success,
contract_0040,CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,"This is a Commercialization and License Agreement between Vyera Pharmaceuticals, LLC and CytoDyn Inc., where Vyera will Commercialize CytoDyn's leronlimab (PRO 140) drug candidate for the treatment of multi-drug resistant HIV infection, in exchange for royalties and other payments. Key obligations include Commercialization of the Licensed Product, payment of royalties, and confidentiality of proprietary information. Notable risks include Commercial Failure, Biosimilar Entry, and Change of Control, which may trigger termination or other consequences.","Either party may terminate this Agreement upon 30 days written notice, subject to certain conditions and exceptions.","Each party must keep proprietary information, including the terms and conditions of this Agreement, confidential.","Neither party is liable for indirect or consequential damages, except in the case of gross negligence or willful misconduct.",success,
contract_0041,MSCIINC_02_28_2008-EX-10.10-,,Not specified in this contract.,Not specified in this contract.,"Each party is liable only for direct damages and excludes liability for special, indirect, incidental, consequential, or punitive damages.",success,
contract_0042,NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT,"This is a Manufacturing Outsourcing Agreement between Nice Systems Ltd. and Flextronics Israel Ltd., where Nice outsources manufacturing services for digital recording products to Flextronics. Key obligations include Flextronics providing world-class quality and capability services, and Nice acquiring inventory related to the operations to be outsourced. Notable risks include liability for indirect or consequential damages, and the need for confidentiality and non-disclosure of proprietary information.",Either party may terminate this Manufacturing Outsourcing Agreement upon 30 days written notice.,"Each party must keep proprietary information, including NICE Proprietary Information and Contractor's Proprietary Information, confidential.","Neither party is liable for indirect or consequential damages, except as otherwise specified in the Agreement.",success,
contract_0043,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement,"This is a Co-Branding Agreement between VerticalNet, Inc. and Impresse Corporation, where they will create a Co-Branded Site for commercial printing services. Key obligations include design, layout, development, hosting, and maintenance of the Co-Branded Site by both parties. Notable risks include potential liability for indirect or consequential damages, and the need for Year 2000 Compliant software.",Either party may terminate this Co-Branding Agreement upon 30 days written notice.,"Each party must keep proprietary information confidential, excluding Co-Branded Content and this Agreement.","Neither party is liable for indirect or consequential damages, except as otherwise provided in this Agreement.",success,
contract_0044,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement,"This is a joint content license agreement between WPT Enterprises, Inc. and Zynga, a Delaware corporation, for the promotion of each other's products and services worldwide, excluding Asian countries. Key obligations include Zynga's payment of an annual minimum guarantee of $3,000,000 and a 10% royalty on net revenue from the WPT-branded Zynga Poker Tournament Mode. Notable risks include the potential for indirect or consequential damages, although this is not explicitly stated in the contract. The agreement has a three-year initial term, with the possibility of a two-year extension.","This agreement will terminate after three years, but may be extended for an additional two years if WPT receives payments greater than $12,000,000 within the initial term.",Not specified in this contract.,"Neither party is liable for indirect or consequential damages, but this clause is not explicitly stated in the provided contract text.",success,
contract_0045,CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement,"This is a Strategic Alliance Agreement between Freedom Mortgage Corporation and Cherry Hill Mortgage Investment Corp. Key obligations include Freedom Mortgage's servicing of mortgage loans and Cherry Hill's access to capital. Notable risks include the occurrence of a Standby Trigger Event, which could lead to termination of the agreement. The parties will also enter into Ancillary Agreements, including the Purchase Agreement and the Flow Agreement, to facilitate their strategic alliance.",Either party may terminate this Strategic Alliance Agreement upon the occurrence of a Standby Trigger Event.,Not specified in this contract.,"Neither party is liable for indirect or consequential damages, except as otherwise provided in the Ancillary Agreements.",success,
contract_0046,CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement,"This is a Chase Affiliate Agreement between Chase Bank USA, N.A. and an Affiliate, outlining the terms and conditions for participation in the Chase Affiliate Program. Key obligations include adhering to restricted content guidelines, using approved links, and not using spyware or manipulating keyword searches. Notable risks include termination of the Agreement for non-compliance, and liability for damages, although the extent of liability is not specified.","Either party may terminate this Agreement at any time, with or without cause, by giving the other party written or e-mail notice of termination.",Not specified in this contract.,"Neither party is liable for indirect or consequential damages, but the contract does not specify the extent of liability.",success,
contract_0047,GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT,"This is a web hosting agreement between Galacticomm and Horst Entertainment Inc. Key obligations include Galacticomm providing 24/7 technical support and Horst Entertainment paying per-access fees. Notable risks include the potential for disputes and the requirement for Horst Entertainment to purchase a software license upon termination. The agreement does not specify confidentiality or liability terms, and disputes will be settled in a Florida court.","Galacticomm may terminate the agreement, and Horst Entertainment has the right to purchase a software license for $15,000 upon termination.",Not specified in this contract.,Not specified in this contract.,success,
contract_0048,"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT","This is a manufacturing, design, and marketing agreement between Zounds Hearing, Inc. and InnerScope Hearing Technologies, Inc. Key obligations include Zounds paying a $1 million technology access fee, manufacturing and supplying hearing aids to InnerScope, and jointly marketing and selling each other's products. Notable risks include potential third-party royalties for technology, engineering changes, and inventory management.","The agreement may be terminated by either party with at least sixty days written notice, with automatic renewal for successive one-year terms unless terminated.",Not specified in this contract.,"Neither party is liable for indirect or consequential damages, but this clause does not provide a comprehensive overview of liability limitations.",success,
contract_0049,CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,"This is a servicing agreement between CURO RECEIVABLES FINANCE II, LLC (Owner) and CURO MANAGEMENT, LLC (Servicer) for the servicing of receivables and participation interests. Key obligations include the Servicer's duty to service and administer the assets with reasonable care and in compliance with applicable law. Notable risks include the Owner's liability for the Servicer's actions, except for willful misconduct, bad faith, or gross negligence, and the potential for termination of the agreement upon specified events.","The Servicer may resign with 60 days' notice, and the Owner may terminate the Servicer upon written notice for specified defaults or insolvency events.",Not specified in this contract.,"The Owner shall indemnify the Servicer and its affiliates from liabilities arising from the Servicer's actions under the Agreement, except for willful misconduct, bad faith, or gross negligence.",success,
contract_0050,SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement,"This is an Affiliate Program agreement between element 5 and Web site owners or Software Publishers, where the Affiliate receives result-dependent Advertising Cost Compensation for publishing electronic advertisements on their Web site. Key obligations include integrating the product link, indicating the Affiliate's role, and maintaining the content and style of product information. Notable risks include the potential for typographical errors on the Affiliate's Web site, and the possibility of the Affiliate being liable for indirect or consequential damages, although this is not explicitly stated in the contract.","Either party may terminate upon 30 days written notice, as not explicitly stated in this contract.",Not specified in this contract.,"Neither party is liable for indirect or consequential damages, as not explicitly stated in this contract.",success,
